id	target	response	HumanPartialFinal	question
3860	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	connect the humerus and the scapula together at the shoulder	0.5	The Deltoid Muscle
3861	Resides on the side of the upper arm at the shoulder and connects the scapula to the humerus	it resides in the upper arm around the shoulder and connects the scapula and the humeras together	1	The Deltoid Muscle
3862	Function together to flex the fingers causing the formation of a fist	to move the fingers and to form a fist	0.5	The Digital Flexor Muscles
3863	Function together to flex the fingers causing the formation of a fist	function together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3864	Function together to flex the fingers causing the formation of a fist	connects arm to the fingers	0	The Digital Flexor Muscles
3865	Function together to flex the fingers causing the formation of a fist	allows fingers to create a fist	0.5	The Digital Flexor Muscles
3866	Function together to flex the fingers causing the formation of a fist	allows fingers to connect and form a fist	0.5	The Digital Flexor Muscles
3867	Function together to flex the fingers causing the formation of a fist	allows fingers to flex together and form a fist	1	The Digital Flexor Muscles
3868	Function together to flex the fingers causing the formation of a fist	allows fingers to flex and causes the formation of a fist	1	The Digital Flexor Muscles
3869	Function together to flex the fingers causing the formation of a fist	functions together to allow the fingers to flex together and the formation of a fist	1	The Digital Flexor Muscles
3870	Function together to flex the fingers causing the formation of a fist	Flexes the fingers as to make a fist.	1	The Digital Flexor Muscles
3871	Function together to flex the fingers causing the formation of a fist	Functions to move the upper arm away from the body at the shoulder.	0	The Digital Flexor Muscles
3872	Function together to flex the fingers causing the formation of a fist	When functioning together they flex the fingers as to make a fist.	1	The Digital Flexor Muscles
3873	Function together to flex the fingers causing the formation of a fist	Contracts the fingers to form a fist	0.5	The Digital Flexor Muscles
3874	Function together to flex the fingers causing the formation of a fist	Causes the fingers to flex and results in the formation of a fist.	1	The Digital Flexor Muscles
3875	Function together to flex the fingers causing the formation of a fist	functions together to flex the fingers resulting in the formation of a fist	1	The Digital Flexor Muscles
3876	Function together to flex the fingers causing the formation of a fist	To help clench your fingers to make your hand into a fist.	0.5	The Digital Flexor Muscles
3877	Function together to flex the fingers causing the formation of a fist	To help flex your fingers and make them into a fist.	1	The Digital Flexor Muscles
3878	Function together to flex the fingers causing the formation of a fist	To help flex your fingers into a fist.	1	The Digital Flexor Muscles
3879	Function together to flex the fingers causing the formation of a fist	To flex your fingers into a fist.	1	The Digital Flexor Muscles
3880	Function together to flex the fingers causing the formation of a fist	Function together to mainly flex your fingers into a fist.	1	The Digital Flexor Muscles
3881	Function together to flex the fingers causing the formation of a fist	Function together to mainly flex the fingers causing the formation of a fist.	1	The Digital Flexor Muscles
3882	Function together to flex the fingers causing the formation of a fist	"To contract the fingers, forming a fist"	0.5	The Digital Flexor Muscles
3883	Function together to flex the fingers causing the formation of a fist	To extend the fingers to form a fist	0.5	The Digital Flexor Muscles
3884	Function together to flex the fingers causing the formation of a fist	To move the fingers so as to make a fist	0.5	The Digital Flexor Muscles
3885	Function together to flex the fingers causing the formation of a fist	To flex the fingers into the formation of a fist	1	The Digital Flexor Muscles
3886	Function together to flex the fingers causing the formation of a fist	To move the upper arm away from the body at the shoulder	0	The Digital Flexor Muscles
3887	Function together to flex the fingers causing the formation of a fist	Function together to flex the fingers causing the formation of a fist	1	The Digital Flexor Muscles
3888	Function together to flex the fingers causing the formation of a fist	these muscles clench the fingers into a fist	0.5	The Digital Flexor Muscles
3889	Function together to flex the fingers causing the formation of a fist	extends lower arm at elbow	0	The Digital Flexor Muscles
3890	Function together to flex the fingers causing the formation of a fist	mainly to clench the fingers of the hand into a fist	0.5	The Digital Flexor Muscles
3891	Function together to flex the fingers causing the formation of a fist	function together to control the fingers into the formation of a fist	0.5	The Digital Flexor Muscles
3892	Function together to flex the fingers causing the formation of a fist	function together to flex fingers causing formation of a fist	1	The Digital Flexor Muscles
3893	Function together to flex the fingers causing the formation of a fist	work with the fingers to help form a fist	0.5	The Digital Flexor Muscles
3894	Function together to flex the fingers causing the formation of a fist	"helps move fingers, and form a fist"	0.5	The Digital Flexor Muscles
3895	Function together to flex the fingers causing the formation of a fist	help moves the fingers and form a fist	0.5	The Digital Flexor Muscles
3896	Function together to flex the fingers causing the formation of a fist	helps move fingers and form a fist	0.5	The Digital Flexor Muscles
3897	Function together to flex the fingers causing the formation of a fist	"funtion together, helps move the fingers and form a fist"	0.5	The Digital Flexor Muscles
3898	Function together to flex the fingers causing the formation of a fist	"working together, it flexs the fingers to help form a fist"	1	The Digital Flexor Muscles
3899	Function together to flex the fingers causing the formation of a fist	funtion together to flex the fingers and help the formation of a fist	1	The Digital Flexor Muscles
3900	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3901	Is stimulated by the median and ulnar nerves	connected to lower arm	0	The Digital Flexor Muscles
3902	Is stimulated by the median and ulnar nerves	connected by the ulnar and medial nerves	0.5	The Digital Flexor Muscles
3903	Is stimulated by the median and ulnar nerves	Stimulated by the digtal nerve.	0	The Digital Flexor Muscles
3904	Is stimulated by the median and ulnar nerves	It is stimulated by the median and ulnar nerves.	1	The Digital Flexor Muscles
3905	Is stimulated by the median and ulnar nerves	is stimulated by the ulna and radial nerve	0	The Digital Flexor Muscles
3906	Is stimulated by the median and ulnar nerves	empty	0	The Digital Flexor Muscles
3907	Is stimulated by the median and ulnar nerves	To help the shoulder move.	0	The Digital Flexor Muscles
3908	Is stimulated by the median and ulnar nerves	The ulnar nerve.	0.5	The Digital Flexor Muscles
3909	Is stimulated by the median and ulnar nerves	Stimulated by the median of the ulnar nerve.	0.5	The Digital Flexor Muscles
3910	Is stimulated by the median and ulnar nerves	Stimulated by the ulnar nerve	0.5	The Digital Flexor Muscles
3911	Is stimulated by the median and ulnar nerves	these muscles are controlled by the ulnar and digial nerve	0.5	The Digital Flexor Muscles
3912	Is stimulated by the median and ulnar nerves	stimulated by ulnar and	0.5	The Digital Flexor Muscles
3913	Is stimulated by the median and ulnar nerves	stimulated by median and ulnar nerves	1	The Digital Flexor Muscles
3914	Is stimulated by the median and ulnar nerves	median nerve	0.5	The Digital Flexor Muscles
3915	Is stimulated by the median and ulnar nerves	median nerve	0.5	The Digital Flexor Muscles
3916	Is stimulated by the median and ulnar nerves	median and the uldar nerve	0.5	The Digital Flexor Muscles
3917	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	"when the palm is facing forward, it is on the front of the forearm connecting the forearm to the fingers"	1	The Digital Flexor Muscles
3918	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	located on lower arm	0.5	The Digital Flexor Muscles
3919	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	lower arm	0.5	The Digital Flexor Muscles
3920	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	upper side of the forearm 	0.5	The Digital Flexor Muscles
3921	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	upper front side of the forearm when the palm is facing forward	0.5	The Digital Flexor Muscles
3922	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	resides on the front of the forearm and connected by the scapula and humerus	0.5	The Digital Flexor Muscles
3923	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	front of the upper arm when the palm is facing forward and connected	0.5	The Digital Flexor Muscles
3924	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	On the palm of the hand when facing forward.	0	The Digital Flexor Muscles
3925	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	When the palm is facing forward they connect the forearm to the fingers.	0.5	The Digital Flexor Muscles
3926	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	Is located at the bottom of the lower arm when the palm is facing upwards	0	The Digital Flexor Muscles
3927	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	"upwards when the palm is facing forwards, connecting the palm to the fingers."	0.5	The Digital Flexor Muscles
3928	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	On the forearm connecting the palm to the fingers.	0.5	The Digital Flexor Muscles
3929	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	On the forearm close to the palm.	0.5	The Digital Flexor Muscles
3930	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	On the forearm facing forward palm fingers.	0.5	The Digital Flexor Muscles
3931	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	On the front of the arm with the palm facing forward	0.5	The Digital Flexor Muscles
3932	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	On the front of the forearm when the palms are facing forward	0.5	The Digital Flexor Muscles
3933	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	On the front of the forearm when the palm is facing forward	0.5	The Digital Flexor Muscles
3934	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	The front of the forearm when the palm is facing forward and connects the fingers and arm	1	The Digital Flexor Muscles
3935	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	front of the forearm and hand	0.5	The Digital Flexor Muscles
3936	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	located at front of forearm when palm is facing away from body	0	The Digital Flexor Muscles
3937	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	located on the front of the forearm when the palm is facing toward the body	0.5	The Digital Flexor Muscles
3938	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	connect fingers to arm located and the front of the forearm when paln s facing forward	1	The Digital Flexor Muscles
3939	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	"when palm is facing out, it is located that the back of your arm"	0	The Digital Flexor Muscles
3940	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	back of the lower arm	0	The Digital Flexor Muscles
3941	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	connects the upper arm to the lower arm bone	0	The Digital Flexor Muscles
3942	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	"when palm facing out, it connets the lower arm to the finger"	0.5	The Digital Flexor Muscles
3943	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	"in the forearm, and connects the upper arm to the finger"	0.5	The Digital Flexor Muscles
3944	Reside on the front of the forearm when the palm is facing forward and connects the arm to the fingers	"when palms facing out its in the fore arm, and connects the lower arm to the fingers"	1	The Digital Flexor Muscles
3945	Functions to extend the foot at the ankle	the extend the foot at the ankle	1	The Gastrocnemius Muscle
3946	Functions to extend the foot at the ankle	empty	0	The Gastrocnemius Muscle
3947	Functions to extend the foot at the ankle	empty	0	The Gastrocnemius Muscle
3948	Functions to extend the foot at the ankle	extends the lower leg and ankle to the foot	0.5	The Gastrocnemius Muscle
3949	Functions to extend the foot at the ankle	Functions to extend the foot at the ankle.	1	The Gastrocnemius Muscle
3950	Functions to extend the foot at the ankle	to bend the ankle	0.5	The Gastrocnemius Muscle
3951	Functions to extend the foot at the ankle	to extend the heel from the lower leg	0	The Gastrocnemius Muscle
3952	Functions to extend the foot at the ankle	functions to extend the ankle from the lower leg	0.5	The Gastrocnemius Muscle
3953	Functions to extend the foot at the ankle	functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
3954	Functions to extend the foot at the ankle	To move the foot and ankle.	0.5	The Gastrocnemius Muscle
3955	Functions to extend the foot at the ankle	To extend the foot at the ankle.	1	The Gastrocnemius Muscle
3956	Functions to extend the foot at the ankle	To extend the foot at the ankle	1	The Gastrocnemius Muscle
3957	Functions to extend the foot at the ankle	extends the foot at the ankle	1	The Gastrocnemius Muscle
3958	Functions to extend the foot at the ankle	help extend the foot out at the ancle	1	The Gastrocnemius Muscle
3959	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
3960	Is stimulated by the tibial nerve	empty	0	The Gastrocnemius Muscle
3961	Is stimulated by the tibial nerve	empty	0	The Gastrocnemius Muscle
3962	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
3963	Is stimulated by the tibial nerve	It is stimulated by the tibial nerve.	1	The Gastrocnemius Muscle
3964	Is stimulated by the tibial nerve	is stimulated by the tibbulus nerve	0.5	The Gastrocnemius Muscle
3965	Is stimulated by the tibial nerve	empty	0	The Gastrocnemius Muscle
3966	Is stimulated by the tibial nerve	empty	0	The Gastrocnemius Muscle
3967	Is stimulated by the tibial nerve	The tibial nerve.	0.5	The Gastrocnemius Muscle
3968	Is stimulated by the tibial nerve	Stimulated by the tibial nerve.	1	The Gastrocnemius Muscle
3969	Is stimulated by the tibial nerve	Stimulated by the tibial nerve	1	The Gastrocnemius Muscle
3970	Is stimulated by the tibial nerve	stimulated by the tibeal nerve	1	The Gastrocnemius Muscle
3971	Is stimulated by the tibial nerve	Is stimulated by the tibual nerve	1	The Gastrocnemius Muscle
3972	Resides on the back of the lower leg and connects the leg to the heel	resides at the back of the lower leg connecting the lower leg to the heel	1	The Gastrocnemius Muscle
3973	Resides on the back of the lower leg and connects the leg to the heel	empty	0	The Gastrocnemius Muscle
3974	Resides on the back of the lower leg and connects the leg to the heel	empty	0	The Gastrocnemius Muscle
3975	Resides on the back of the lower leg and connects the leg to the heel	located on the back of the lower leg and conneced to the ankle and foot	0.5	The Gastrocnemius Muscle
3976	Resides on the back of the lower leg and connects the leg to the heel	Behind the lower leg connecting the lower leg to the ankle.	0.5	The Gastrocnemius Muscle
3977	Resides on the back of the lower leg and connects the leg to the heel	Located at the back on the lower leg. Connecting the upper leg to the ankle.	0.5	The Gastrocnemius Muscle
3978	Resides on the back of the lower leg and connects the leg to the heel	is located at the bottom of the leg connecting the lower leg to bones in the foot.	0	The Gastrocnemius Muscle
3979	Resides on the back of the lower leg and connects the leg to the heel	"located on the back of the lower leg, connects the lower leg to the ankle"	0.5	The Gastrocnemius Muscle
3980	Resides on the back of the lower leg and connects the leg to the heel	The lower leg connecting your foot and ankle.	0.5	The Gastrocnemius Muscle
3981	Resides on the back of the lower leg and connects the leg to the heel	The rear side of the lower leg connecting the heel to the foot.	0.5	The Gastrocnemius Muscle
3982	Resides on the back of the lower leg and connects the leg to the heel	On the back of the lower leg connecting the heel to the lower leg	1	The Gastrocnemius Muscle
3983	Resides on the back of the lower leg and connects the leg to the heel	located at the back of the lower leg and connects the lower leg to the heel	1	The Gastrocnemius Muscle
3984	Resides on the back of the lower leg and connects the leg to the heel	back of the lower leg and conncets the leg to the heel	1	The Gastrocnemius Muscle
3985	Functions to extend the thigh at the hip	functions to extend the thigh at the hip	1	The Gluteus Maximus Muscle
3986	Functions to extend the thigh at the hip	extend the hip into the thigh	0	The Gluteus Maximus Muscle
3987	Functions to extend the thigh at the hip	Flexes the pelvis 	0	The Gluteus Maximus Muscle
3988	Functions to extend the thigh at the hip	Functions to flex the thigh	0	The Gluteus Maximus Muscle
3989	Functions to extend the thigh at the hip	Functions to extend the hip at the thigh.	0	The Gluteus Maximus Muscle
3990	Functions to extend the thigh at the hip	Moves the Thigh at the hup	1	The Gluteus Maximus Muscle
3991	Functions to extend the thigh at the hip	is to extend the upper leg from the hip	1	The Gluteus Maximus Muscle
3992	Functions to extend the thigh at the hip	to extend the upper leg from the thigh	0	The Gluteus Maximus Muscle
3993	Functions to extend the thigh at the hip	Functions to move the thigh from the hip	1	The Gluteus Maximus Muscle
3994	Functions to extend the thigh at the hip	Functions to extend the thigh from the hip	1	The Gluteus Maximus Muscle
3995	Functions to extend the thigh at the hip	To move pelvis thigh connecting	0	The Gluteus Maximus Muscle
3996	Functions to extend the thigh at the hip	To extend the thigh at the hips.	1	The Gluteus Maximus Muscle
3997	Functions to extend the thigh at the hip	To extend the thigh at the hip	1	The Gluteus Maximus Muscle
3998	Functions to extend the thigh at the hip	to extend the thigh at the pelvis	0.5	The Gluteus Maximus Muscle
3999	Functions to extend the thigh at the hip	helps extend the thigh	0.5	The Gluteus Maximus Muscle
4000	Functions to extend the thigh at the hip	help extend the thigh out at the hip	1	The Gluteus Maximus Muscle
4001	Is stimulated by the inferior gluteal nerve	stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
4002	Is stimulated by the inferior gluteal nerve	connected to the inferior gluteus nerve	0.5	The Gluteus Maximus Muscle
4003	Is stimulated by the inferior gluteal nerve	It is stimulated by the inferior gluteal nerve.	1	The Gluteus Maximus Muscle
4004	Is stimulated by the inferior gluteal nerve	is stimulated by the inferior Gluteal nerve	1	The Gluteus Maximus Muscle
4005	Is stimulated by the inferior gluteal nerve	The inferior gluteal nerve.	0.5	The Gluteus Maximus Muscle
4006	Is stimulated by the inferior gluteal nerve	Stimulated by the inferior glutial nerve	1	The Gluteus Maximus Muscle
4007	Is stimulated by the inferior gluteal nerve	stimulated by the gluteal minor nerve	0.5	The Gluteus Maximus Muscle
4008	Is stimulated by the inferior gluteal nerve	empty	0	The Gluteus Maximus Muscle
4009	Is stimulated by the inferior gluteal nerve	Its stimulated by the infeior gluteus nerve	1	The Gluteus Maximus Muscle
4010	Reside on the back and side of the pelvis and connect the pelvis to the thigh	resides on the back and side of the pelvis connecting the thigh to the pelvis	1	The Gluteus Maximus Muscle
4011	Reside on the back and side of the pelvis and connect the pelvis to the thigh	located on the pelvis and hip	0	The Gluteus Maximus Muscle
4012	Reside on the back and side of the pelvis and connect the pelvis to the thigh	located the side and back of the pelvis	0.5	The Gluteus Maximus Muscle
4013	Reside on the back and side of the pelvis and connect the pelvis to the thigh	located on the back and side of the pelvis to connect to the thigh	1	The Gluteus Maximus Muscle
4014	Reside on the back and side of the pelvis and connect the pelvis to the thigh	Resides on the side and behind the pelvis. Connects the pelvis to the hip.	0.5	The Gluteus Maximus Muscle
4015	Reside on the back and side of the pelvis and connect the pelvis to the thigh	Resides on the back and side on the thigh. Connects the hip and upper leg to the pelvis.	0	The Gluteus Maximus Muscle
4016	Reside on the back and side of the pelvis and connect the pelvis to the thigh	is located behind the pelvis connecting the thigh to the hip	0	The Gluteus Maximus Muscle
4017	Reside on the back and side of the pelvis and connect the pelvis to the thigh	is located on the back and side of the belvis and connects the pelvis to the thigh	1	The Gluteus Maximus Muscle
4018	Reside on the back and side of the pelvis and connect the pelvis to the thigh	Is located on the rear side of the body connecting the pelvis to the thigh.	0.5	The Gluteus Maximus Muscle
4019	Reside on the back and side of the pelvis and connect the pelvis to the thigh	On the back and sides of the pelvis and connects the thigh to the pelvis	1	The Gluteus Maximus Muscle
4020	Reside on the back and side of the pelvis and connect the pelvis to the thigh	located at the back of the pelvis and connects thigh to pelvis	0.5	The Gluteus Maximus Muscle
4021	Reside on the back and side of the pelvis and connect the pelvis to the thigh	"its located at the side and back for the thigh, it connects the pelvis to the thigh"	0.5	The Gluteus Maximus Muscle
4022	Functions to extend the lower leg at the knee	to extend the lower leg at the knee	1	The Quadriceps Muscles
4023	Functions to extend the lower leg at the knee	empty	0	The Quadriceps Muscles
4024	Functions to extend the lower leg at the knee	extends the thigh into the lower leg	0	The Quadriceps Muscles
4025	Functions to extend the lower leg at the knee	Functions to extend the upper leg.	0	The Quadriceps Muscles
4026	Functions to extend the lower leg at the knee	Functions to extend the lower leg.	0.5	The Quadriceps Muscles
4027	Functions to extend the lower leg at the knee	raises the lower leg from the kneecap	1	The Quadriceps Muscles
4028	Functions to extend the lower leg at the knee	extend the lower leg from the knee	1	The Quadriceps Muscles
4029	Functions to extend the lower leg at the knee	To move the thigh and knee at the knee caps.	0	The Quadriceps Muscles
4030	Functions to extend the lower leg at the knee	To extend the foot at the heel.	0	The Quadriceps Muscles
4031	Functions to extend the lower leg at the knee	To extend the thigh knee cap legs.	0	The Quadriceps Muscles
4032	Functions to extend the lower leg at the knee	To extend the lower leg at the knee	1	The Quadriceps Muscles
4033	Functions to extend the lower leg at the knee	to extend the lower leg at the knee	1	The Quadriceps Muscles
4034	Functions to extend the lower leg at the knee	help extend the lower leg	0.5	The Quadriceps Muscles
4035	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
4036	Is stimulated by the femoral nerve	empty	0	The Quadriceps Muscles
4037	Is stimulated by the femoral nerve	connected to the	0	The Quadriceps Muscles
4038	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
4039	Is stimulated by the femoral nerve	It is stimulated by the femoral nerve.	1	The Quadriceps Muscles
4040	Is stimulated by the femoral nerve	is stimulated by the femoral nerve	1	The Quadriceps Muscles
4041	Is stimulated by the femoral nerve	empty	0	The Quadriceps Muscles
4042	Is stimulated by the femoral nerve	The fermoral nerve.	0.5	The Quadriceps Muscles
4043	Is stimulated by the femoral nerve	Stimulated by the femoral nerve.	1	The Quadriceps Muscles
4044	Is stimulated by the femoral nerve	Stimulated by the femoral nerve	1	The Quadriceps Muscles
4045	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
4046	Is stimulated by the femoral nerve	empty	0	The Quadriceps Muscles
4047	Is stimulated by the femoral nerve	empty	0	The Quadriceps Muscles
4048	Is stimulated by the femoral nerve	pemoral nerve	0	The Quadriceps Muscles
4049	Is stimulated by the femoral nerve	femoral nerve	0.5	The Quadriceps Muscles
4050	Is stimulated by the femoral nerve	femoral nerve	0.5	The Quadriceps Muscles
4051	Is stimulated by the femoral nerve	femoral nerve	0.5	The Quadriceps Muscles
4052	Is stimulated by the femoral nerve	femoral nerve	0.5	The Quadriceps Muscles
4053	Is stimulated by the femoral nerve	Is stimulated by the femoral nerve	1	The Quadriceps Muscles
4054	Reside on the front of the thigh and connect the upper leg to the kneecap and a bone of the lower leg	resides on the front of the upper leg connecting the hip and upper leg to a bone of the lower leg	0.5	The Quadriceps Muscles
4055	Reside on the front of the thigh and connect the upper leg to the kneecap and a bone of the lower leg	empty	0	The Quadriceps Muscles
4056	Reside on the front of the thigh and connect the upper leg to the kneecap and a bone of the lower leg	located on the back of the thigh	0	The Quadriceps Muscles
4057	Reside on the front of the thigh and connect the upper leg to the kneecap and a bone of the lower leg	located on the front of the thigh	0.5	The Quadriceps Muscles
4058	Reside on the front of the thigh and connect the upper leg to the kneecap and a bone of the lower leg	located on the front of the thigh and connects the upper leg to the kneecap and the bone in the lower leg	1	The Quadriceps Muscles
4059	Reside on the front of the thigh and connect the upper leg to the kneecap and a bone of the lower leg	On the upper leg on the thigh connecting the hip and thigh to the knee cap and connecting it to the ankle.	0	The Quadriceps Muscles
4060	Reside on the front of the thigh and connect the upper leg to the kneecap and a bone of the lower leg	"Located at the front, upper part of the thigh. Connects the hip to the kneecap and connects down to a bone in the lower leg."	0.5	The Quadriceps Muscles
4061	Reside on the front of the thigh and connect the upper leg to the kneecap and a bone of the lower leg	"is located at the front of the leg, connecting the upper leg to the kneecap to a bone in the lower leg"	0.5	The Quadriceps Muscles
4062	Reside on the front of the thigh and connect the upper leg to the kneecap and a bone of the lower leg	On the upper side of the leg connecting your thighs to your kneecaps down to a bone in the lower leg.	0.5	The Quadriceps Muscles
4063	Reside on the front of the thigh and connect the upper leg to the kneecap and a bone of the lower leg	On the front of the thigh and connects the thigh to the kneecap and a bone in the lower leg	1	The Quadriceps Muscles
4064	Reside on the front of the thigh and connect the upper leg to the kneecap and a bone of the lower leg	located on the front of the upper leg and connects the upper leg to the knee cap and a bone on the lower leg	1	The Quadriceps Muscles
4065	Reside on the front of the thigh and connect the upper leg to the kneecap and a bone of the lower leg	upper thigh	0.5	The Quadriceps Muscles
4066	Reside on the front of the thigh and connect the upper leg to the kneecap and a bone of the lower leg	located at the upper thigh and conncets the thigh to the knee cap and lower leg bone	1	The Quadriceps Muscles
4067	Functions to extend the lower arm at the elbow	to extend the lower arm at the elbow	1	The Triceps Muscle
4068	Functions to extend the lower arm at the elbow	ability to move arm	0	The Triceps Muscle
4069	Functions to extend the lower arm at the elbow	allows arm movement	0	The Triceps Muscle
4070	Functions to extend the lower arm at the elbow	allows arm to move away from body	0	The Triceps Muscle
4071	Functions to extend the lower arm at the elbow	extends the upper arm at the elbow	0	The Triceps Muscle
4072	Functions to extend the lower arm at the elbow	To extend the arm away at the elbow.	0.5	The Triceps Muscle
4073	Functions to extend the lower arm at the elbow	Extends the forearm away from the upperarm	0.5	The Triceps Muscle
4074	Functions to extend the lower arm at the elbow	moves the lower arm from the upper arm.	0.5	The Triceps Muscle
4075	Functions to extend the lower arm at the elbow	move the lower arm from the elbow	1	The Triceps Muscle
4076	Functions to extend the lower arm at the elbow	To move the elbow toward or away from the body.	0	The Triceps Muscle
4077	Functions to extend the lower arm at the elbow	To help move the arm.	0	The Triceps Muscle
4078	Functions to extend the lower arm at the elbow	To move the shoulder towards the elbow.	0	The Triceps Muscle
4079	Functions to extend the lower arm at the elbow	To move the arm away from the body. 	0	The Triceps Muscle
4080	Functions to extend the lower arm at the elbow	To connect the bone shoulder elbow mainly.	0	The Triceps Muscle
4081	Functions to extend the lower arm at the elbow	To move the arm at the shoulder elbow mainly.	0	The Triceps Muscle
4082	Functions to extend the lower arm at the elbow	Function together to cause the elbow to move up toward the shoulder.	0	The Triceps Muscle
4083	Functions to extend the lower arm at the elbow	To extend lower arm at the elbow.	1	The Triceps Muscle
4084	Functions to extend the lower arm at the elbow	To extend the lower arm at the elbow	1	The Triceps Muscle
4085	Functions to extend the lower arm at the elbow	extend the lower arm backwards	0.5	The Triceps Muscle
4086	Functions to extend the lower arm at the elbow	to pull and push the lower arm to the upper arm	0	The Triceps Muscle
4087	Functions to extend the lower arm at the elbow	help move the upper arm and flex the elbow	0	The Triceps Muscle
4088	Functions to extend the lower arm at the elbow	help move the lower arm by the elbow	1	The Triceps Muscle
4089	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
4090	Is stimulated by the radial nerve	connected to the upper and lower arm by the radial nerve	0.5	The Triceps Muscle
4091	Is stimulated by the radial nerve	connects the upper arm to the bone in the lower arm	0	The Triceps Muscle
4092	Is stimulated by the radial nerve	connected to the radial nerve	0.5	The Triceps Muscle
4093	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
4094	Is stimulated by the radial nerve	Stimulated by the radial nerve.	1	The Triceps Muscle
4095	Is stimulated by the radial nerve	Stimulated by the radial nerve	1	The Triceps Muscle
4096	Is stimulated by the radial nerve	Stimulated by the radial nerve.	1	The Triceps Muscle
4097	Is stimulated by the radial nerve	Controlled by the radial nerve	0.5	The Triceps Muscle
4098	Is stimulated by the radial nerve	Stimulated by the radial nerve	1	The Triceps Muscle
4099	Is stimulated by the radial nerve	the muscle is controlled by the radial nerve	0.5	The Triceps Muscle
4100	Is stimulated by the radial nerve	located at the back of the upper arm connects upper arm to bone in forearm	0	The Triceps Muscle
4101	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
4102	Is stimulated by the radial nerve	median nerve	0	The Triceps Muscle
4103	Is stimulated by the radial nerve	empty	0	The Triceps Muscle
4104	Is stimulated by the radial nerve	empty	0	The Triceps Muscle
4105	Is stimulated by the radial nerve	axillery nerve	0	The Triceps Muscle
4106	Is stimulated by the radial nerve	radial nerve	0.5	The Triceps Muscle
4107	Is stimulated by the radial nerve	radial nerve	0.5	The Triceps Muscle
4108	Is stimulated by the radial nerve	radial nerve	0.5	The Triceps Muscle
4109	Is stimulated by the radial nerve	Its stimulated by the radial nerve	1	The Triceps Muscle
4110	Resides on the back of the arm and connects the upper arm to a bone of the lower arm	on the back of the upper arm connecting the upper arm bone to the lower arm bone	1	The Triceps Muscle
4111	Resides on the back of the arm and connects the upper arm to a bone of the lower arm	connected to upper and lower arm	0	The Triceps Muscle
4112	Resides on the back of the arm and connects the upper arm to a bone of the lower arm	Behind the upper part of the arm. Connects a bone of the upper arm to a bone of the lower arm.	1	The Triceps Muscle
4113	Resides on the back of the arm and connects the upper arm to a bone of the lower arm	On the Back of the upper arm	0.5	The Triceps Muscle
4114	Resides on the back of the arm and connects the upper arm to a bone of the lower arm	Located at the side of the arm and connects the upper arm to the lower arm.	0.5	The Triceps Muscle
4115	Resides on the back of the arm and connects the upper arm to a bone of the lower arm	On the lower side of the arm connecting the sholder to the elbow.	0	The Triceps Muscle
